f_khz,Vr,Vl,Vc,Vt,Degree,X_l,X_c,I,I_n,I_b,I_m
10.0,0.356,0.496,5.4,5.0,-85.1,136.53932584269663,1486.5168539325844,0.003694044597171561,0.003659062,0.00388,0.003872983
12.0,0.432,0.7,5.56,5.0,-82.0,158.79629629629628,1261.2962962962963,0.0045173362389691,0.004390874,0.00472,0.00438178
14.0,0.52,0.984,5.84,5.0,-80.9,185.44615384615383,1100.6153846153845,0.0054324124753991525,0.005294877,0.00588,0.005205766
16.0,0.648,1.36,6.28,5.04,-78.6,205.679012345679,949.753086419753,0.006715523117561375,0.006241929,0.00752,0.006760178
18.0,0.768,1.82,6.64,5.0,-81.4,232.23958333333331,847.2916666666665,0.008028122610440544,0.00718898,0.00912,0.007765307
20.0,0.912,2.38,7.12,5.0,-78.0,255.74561403508773,765.0877192982456,0.009639775509966479,0.00835127,0.0126,0.010148892
22.0,1.14,3.16,8.0,5.0,-72.8,271.64912280701753,687.719298245614,0.011697118061412251,0.00912613,0.0152,0.010677078
24.0,1.38,4.24,9.04,5.0,-72.3,301.10144927536237,641.9710144927536,0.014097317595910283,0.009987086,0.0202,0.012806248
25.0,1.5,4.88,9.6,5.0,-68.2,318.82666666666665,627.1999999999999,0.015452564952522691,0.010159277,0.0242,0.013711309
26.0,1.7,5.68,10.4,5.0,-65.5,327.43529411764706,599.529411764706,0.017288807799108873,0.010331468,0.0288,0.015716234
27.0,1.9,6.8,11.3,5.04,-63.0,350.7368421052632,582.8421052631579,0.020004276190647232,0.010589755,0.0352,0.018083141
28.0,2.16,8.0,12.2,5.0,-58.0,362.96296296296293,553.5185185185184,0.023334082276569468,0.010589755,0.042,0.01954482
29.0,2.44,10.0,14.0,5.0,-55.1,401.639344262295,562.295081967213,0.0265693470419481,0.01067585,0.0468,0.020469489
30.0,2.74,10.8,15.2,5.0,-49.7,386.2773722627737,543.6496350364963,0.026969944607625904,0.010589755,0.0464,0.021931712
31.0,3.18,13.0,17.0,5.0,-41.9,400.62893081761,523.8993710691824,0.03175028688010828,0.010589755,0.0464,0.021023796
32.0,3.72,16.0,18.8,5.0,-34.0,421.505376344086,495.26881720430106,0.04076366799933141,0.010331468,0.0408,0.022113344
34.0,4.48,20.6,21.4,5.0,9.22,450.625,468.12499999999994,0.050225896709616434,0.010245372,0.0356,0.023021729
36.0,4.48,21.4,20.2,5.04,16.2,468.12499999999994,441.875,0.04967732836302404,0.00990099,0.0276,0.023388031
38.0,3.76,18.5,16.2,5.04,37.0,482.18085106382983,422.2340425531915,0.04387152481184097,0.009298321,0.0212,0.023021729
40.0,3.04,16.2,12.6,5.04,50.9,522.2368421052631,406.1842105263158,0.033180727773922565,0.008867843,0.017,0.020832667
43.0,2.32,12.8,8.4,5.08,59.8,540.6896551724138,354.82758620689657,0.02417712799322708,0.00835127,0.0148,0.017916473
45.0,1.9,12.0,6.88,5.0,67.7,618.9473684210526,354.86315789473684,0.01775054418396211,0.007748601,0.0119,0.016431677
50.0,1.42,9.2,4.64,4.06,74.4,634.9295774647887,320.2253521126761,0.01231758760180794,0.007318123,0.0108,0.012961481
60.0,0.952,7.4,2.6,5.08,78.2,761.764705882353,267.6470588235294,0.01008452249747178,0.006284976,0.00864,0.009044335
